gpa,attendance,financial_score,credit_hours,scholarship
2.82,87.3,86.0,17.0,Not Eligible
2.89,86.7,91.7,124.0,Eligible
3.15,81.0,17.3,102.0,Eligible
3.97,89.5,16.7,126.0,Eligible
2.48,79.7,86.9,68.0,Not Eligible
3.36,99.9,68.5,30.0,Not Eligible
3.43,62.0,13.0,119.0,Eligible
3.21,77.7,49.5,31.0,Not Eligible
2.18,75.9,76.0,11.0,Not Eligible
3.35,90.8,19.9,4.0,Not Eligible
2.13,67.6,91.0,3.0,Not Eligible
3.19,77.4,86.6,31.0,Not Eligible
3.48,87.9,59.4,28.0,Not Eligible
2.42,84.1,77.8,119.0,Not Eligible
3.68,81.8,14.9,47.0,Not Eligible
2.06,77.4,24.8,6.0,Not Eligible
3.69,90.1,77.4,103.0,Eligible
2.92,85.9,44.4,93.0,Not Eligible
2.44,95.0,18.1,25.0,Not Eligible
2.27,89.3,29.0,58.0,Not Eligible
3.91,65.6,62.2,46.0,Not Eligible
2.15,84.8,4.1,101.0,Not Eligible
2.4,61.8,14.8,77.0,Not Eligible
2.7,75.5,20.3,24.0,Not Eligible
3.24,76.5,88.7,102.0,Eligible
3.09,94.2,88.8,75.0,Not Eligible
2.25,67.2,21.2,108.0,Not Eligible
2.58,85.7,59.8,114.0,Eligible
2.48,67.7,36.0,109.0,Not Eligible
2.43,97.9,5.0,21.0,Not Eligible
2.82,81.2,15.3,117.0,Eligible
3.41,88.3,0.5,17.0,Not Eligible
2.43,85.9,98.4,23.0,Not Eligible
2.73,72.1,65.0,109.0,Eligible
2.78,96.0,13.3,105.0,Eligible
3.95,85.1,73.4,52.0,Not Eligible
3.91,80.4,61.2,23.0,Not Eligible
3.6,81.1,20.7,28.0,Not Eligible
2.48,95.6,49.3,127.0,Not Eligible
2.14,62.4,61.1,9.0,Not Eligible
2.63,75.6,36.2,48.0,Not Eligible
2.53,93.7,95.9,82.0,Not Eligible
3.01,61.5,9.5,101.0,Eligible
3.56,85.6,12.6,89.0,Not Eligible
3.72,76.1,85.7,47.0,Not Eligible
3.69,68.2,25.0,30.0,Not Eligible
2.72,84.5,13.0,99.0,Not Eligible
3.37,93.2,38.7,55.0,Not Eligible
2.63,78.7,16.8,15.0,Not Eligible
2.12,65.9,50.4,127.0,Not Eligible
3.4,72.2,73.4,101.0,Eligible
2.02,99.3,75.6,82.0,Not Eligible
2.82,64.4,30.3,43.0,Not Eligible
2.66,66.4,69.0,107.0,Eligible
3.39,99.6,96.5,31.0,Not Eligible
3.53,95.3,0.7,6.0,Not Eligible
2.61,88.3,64.6,50.0,Not Eligible
3.62,66.0,50.0,90.0,Not Eligible
2.59,69.6,39.4,123.0,Eligible
2.89,67.2,20.9,34.0,Not Eligible
3.45,85.2,12.4,10.0,Not Eligible
3.39,76.0,92.1,31.0,Not Eligible
3.97,61.9,3.0,97.0,Not Eligible
2.45,71.7,47.0,67.0,Not Eligible
3.32,94.4,20.5,91.0,Not Eligible
3.22,91.8,14.7,128.0,Eligible
3.83,85.7,35.3,66.0,Not Eligible
2.31,63.4,31.6,12.0,Not Eligible
3.5,95.3,46.2,113.0,Eligible
3.14,81.4,49.3,15.0,Not Eligible
2.55,79.8,50.4,52.0,Not Eligible
2.95,97.4,13.2,128.0,Eligible
2.67,60.4,17.1,47.0,Not Eligible
3.16,82.2,32.4,66.0,Not Eligible
3.78,91.6,8.1,127.0,Eligible
3.14,62.5,83.3,68.0,Not Eligible
3.26,74.3,9.8,123.0,Eligible
3.04,99.1,22.8,42.0,Not Eligible
2.1,68.5,63.7,13.0,Not Eligible
2.47,81.2,93.0,45.0,Not Eligible
2.98,89.8,13.5,116.0,Eligible
2.62,75.6,43.9,44.0,Not Eligible
2.36,76.3,29.7,103.0,Not Eligible
3.01,62.5,48.0,41.0,Not Eligible
2.65,67.6,43.8,129.0,Eligible
2.52,95.2,57.8,29.0,Not Eligible
2.93,92.7,4.3,3.0,Not Eligible
2.27,72.2,82.9,104.0,Not Eligible
3.86,75.3,3.3,63.0,Not Eligible
3.74,77.6,57.2,103.0,Eligible
3.42,73.8,81.4,74.0,Not Eligible
2.21,86.2,11.5,57.0,Not Eligible
3.55,60.5,68.2,69.0,Not Eligible
3.62,95.2,21.0,88.0,Not Eligible
3.54,72.0,19.9,56.0,Not Eligible
2.23,94.9,4.5,94.0,Not Eligible
3.29,78.2,36.8,18.0,Not Eligible
3.67,91.1,89.3,89.0,Not Eligible
3.15,93.0,70.4,82.0,Not Eligible
3.29,72.1,56.9,113.0,Eligible
2.92,85.6,81.9,40.0,Not Eligible
3.06,84.3,83.6,35.0,Not Eligible
2.07,79.0,59.4,89.0,Not Eligible
3.28,78.8,31.0,25.0,Not Eligible
2.16,72.2,88.1,122.0,Not Eligible
2.87,72.4,35.0,93.0,Not Eligible
2.59,81.9,17.3,93.0,Not Eligible
3.09,61.3,55.9,119.0,Eligible
2.27,97.3,8.4,72.0,Not Eligible
3.38,86.0,21.1,123.0,Eligible
3.59,77.7,84.8,36.0,Not Eligible
2.33,62.5,41.7,47.0,Not Eligible
2.21,85.2,48.9,102.0,Not Eligible
2.29,60.7,53.9,78.0,Not Eligible
3.75,87.2,49.3,73.0,Not Eligible
3.06,62.9,21.8,65.0,Not Eligible
2.93,86.2,91.6,80.0,Not Eligible
2.21,76.2,67.9,63.0,Not Eligible
3.3,86.5,65.1,110.0,Eligible
3.74,65.5,83.7,63.0,Not Eligible
3.66,64.7,67.7,19.0,Not Eligible
3.25,69.9,12.1,33.0,Not Eligible
2.15,76.5,33.9,118.0,Not Eligible
2.22,70.1,37.4,89.0,Not Eligible
2.1,63.3,67.2,23.0,Not Eligible
2.51,73.0,70.5,63.0,Not Eligible
2.27,88.2,55.6,82.0,Not Eligible
2.52,83.3,40.0,69.0,Not Eligible
2.77,98.5,87.6,129.0,Eligible
3.89,77.4,55.5,67.0,Not Eligible
3.22,73.3,82.4,121.0,Eligible
3.67,87.7,92.7,110.0,Eligible
3.42,76.5,42.3,78.0,Not Eligible
2.23,84.7,29.1,50.0,Not Eligible
3.47,97.9,37.2,130.0,Eligible
2.55,80.0,8.3,12.0,Not Eligible
3.28,79.9,35.0,110.0,Eligible
2.68,91.0,50.6,81.0,Not Eligible
4.0,90.2,20.6,76.0,Not Eligible
2.53,80.6,17.8,129.0,Eligible
2.56,62.6,31.7,41.0,Not Eligible
3.86,99.2,10.1,4.0,Not Eligible
2.05,75.1,49.3,97.0,Not Eligible
3.39,72.7,63.5,12.0,Not Eligible
3.45,99.3,58.8,39.0,Not Eligible
3.67,94.9,28.0,130.0,Eligible
3.95,73.2,86.1,47.0,Not Eligible
3.95,72.3,11.0,62.0,Not Eligible
2.13,88.8,0.2,40.0,Not Eligible
3.64,73.4,13.4,125.0,Eligible
3.29,70.1,72.4,35.0,Not Eligible
3.29,99.2,78.9,83.0,Not Eligible
2.26,82.6,76.6,9.0,Not Eligible
3.3,90.5,32.4,7.0,Not Eligible
3.96,88.5,87.5,3.0,Not Eligible
3.82,90.2,88.9,115.0,Eligible
2.88,96.1,82.0,9.0,Not Eligible
2.08,80.0,73.7,44.0,Not Eligible
2.72,90.1,84.1,63.0,Not Eligible
3.65,91.9,65.8,51.0,Not Eligible
3.4,97.9,96.4,37.0,Not Eligible
2.92,88.5,63.0,102.0,Eligible
2.11,95.7,16.5,120.0,Not Eligible
2.85,63.8,18.3,95.0,Not Eligible
2.94,65.0,43.1,7.0,Not Eligible
3.86,66.3,71.9,82.0,Not Eligible
3.28,65.8,14.0,63.0,Not Eligible
2.62,63.5,19.5,128.0,Eligible
3.05,64.9,7.7,82.0,Not Eligible
2.13,99.8,16.8,20.0,Not Eligible
3.95,70.9,22.0,15.0,Not Eligible
2.72,79.1,55.9,18.0,Not Eligible
2.96,92.9,38.8,37.0,Not Eligible
2.71,64.7,9.4,101.0,Eligible
3.37,72.7,15.8,85.0,Not Eligible
3.32,66.4,52.0,71.0,Not Eligible
3.43,62.5,13.2,85.0,Not Eligible
2.54,98.4,72.9,104.0,Eligible
2.63,94.3,9.5,18.0,Not Eligible
2.25,95.2,19.0,95.0,Not Eligible
3.31,94.7,87.6,101.0,Eligible
2.08,66.2,53.4,125.0,Not Eligible
3.2,91.4,98.9,120.0,Eligible
3.74,89.1,15.2,118.0,Eligible
3.78,97.0,7.7,99.0,Not Eligible
2.9,68.8,7.6,19.0,Not Eligible
2.92,76.6,93.5,94.0,Not Eligible
2.15,71.8,64.3,66.0,Not Eligible
3.34,70.3,33.7,42.0,Not Eligible
3.64,86.1,38.4,37.0,Not Eligible
2.49,66.6,70.0,81.0,Not Eligible
2.84,78.6,61.7,50.0,Not Eligible
3.68,85.9,35.6,61.0,Not Eligible
3.75,65.2,69.0,33.0,Not Eligible
2.49,70.3,34.3,51.0,Not Eligible
3.1,98.7,45.2,62.0,Not Eligible
2.38,91.8,85.1,56.0,Not Eligible
2.2,87.1,11.8,28.0,Not Eligible
3.82,94.2,43.2,20.0,Not Eligible
3.64,60.6,9.2,126.0,Eligible
3.52,60.2,3.9,19.0,Not Eligible
2.1,66.2,96.6,19.0,Not Eligible
3.69,79.8,56.3,121.0,Eligible
2.88,82.8,97.7,50.0,Not Eligible
2.68,64.5,85.9,6.0,Not Eligible
3.09,62.9,98.5,55.0,Not Eligible
2.18,93.1,93.5,92.0,Not Eligible
3.51,78.6,87.9,79.0,Not Eligible
3.16,99.7,72.4,77.0,Not Eligible
2.37,69.2,73.5,130.0,Not Eligible
2.38,85.9,94.3,56.0,Not Eligible
2.37,92.2,97.7,26.0,Not Eligible
2.11,94.9,94.4,52.0,Not Eligible
3.18,72.3,48.3,97.0,Not Eligible
3.68,67.7,87.7,73.0,Not Eligible
2.03,69.0,51.0,64.0,Not Eligible
2.1,86.7,56.4,53.0,Not Eligible
3.15,80.9,82.4,126.0,Eligible
3.64,84.0,83.0,86.0,Not Eligible
2.65,60.8,82.4,96.0,Not Eligible
2.7,75.6,82.8,67.0,Not Eligible
3.19,72.4,42.7,71.0,Not Eligible
2.55,94.6,53.0,38.0,Not Eligible
2.05,91.1,25.3,29.0,Not Eligible
3.47,77.2,46.3,96.0,Not Eligible
3.25,85.2,96.1,8.0,Not Eligible
3.16,61.9,81.7,126.0,Eligible
3.48,85.5,36.3,114.0,Eligible
3.35,63.9,63.3,104.0,Eligible
2.41,88.6,25.3,87.0,Not Eligible
2.7,83.0,20.7,85.0,Not Eligible
2.25,72.0,41.8,97.0,Not Eligible
2.26,74.8,17.2,119.0,Not Eligible
3.35,63.6,55.5,67.0,Not Eligible
3.72,72.9,42.5,22.0,Not Eligible
3.93,98.7,13.8,11.0,Not Eligible
3.26,79.4,70.0,69.0,Not Eligible
2.37,79.0,72.1,85.0,Not Eligible
2.21,85.2,89.0,114.0,Not Eligible
3.63,79.4,71.2,118.0,Eligible
3.16,74.2,21.7,92.0,Not Eligible
3.24,65.6,66.3,118.0,Eligible
3.56,85.2,97.6,119.0,Eligible
3.41,90.0,85.2,38.0,Not Eligible
3.67,96.9,43.4,49.0,Not Eligible
2.11,60.1,69.6,108.0,Not Eligible
3.5,62.7,1.6,128.0,Eligible
3.7,96.0,21.9,17.0,Not Eligible
2.57,85.2,39.9,110.0,Eligible
3.28,98.3,41.1,33.0,Not Eligible
2.63,77.2,87.8,78.0,Not Eligible
3.92,76.7,98.9,64.0,Not Eligible
2.07,73.8,45.5,87.0,Not Eligible
3.16,65.7,39.0,116.0,Eligible
2.33,75.1,13.1,53.0,Not Eligible
3.42,60.6,23.4,94.0,Not Eligible
2.35,80.4,14.0,70.0,Not Eligible
2.47,93.9,34.6,70.0,Not Eligible
2.99,72.8,74.7,116.0,Eligible
3.83,63.8,2.2,103.0,Eligible
2.42,99.0,87.1,49.0,Not Eligible
2.29,65.2,72.3,62.0,Not Eligible
3.52,81.1,36.9,18.0,Not Eligible
3.0,92.4,52.5,3.0,Not Eligible
3.82,70.1,10.9,54.0,Not Eligible
2.29,93.7,77.9,68.0,Not Eligible
3.29,82.3,78.2,70.0,Not Eligible
2.47,73.3,37.8,129.0,Not Eligible
2.31,94.6,26.1,43.0,Not Eligible
3.37,84.9,58.5,73.0,Not Eligible
3.19,84.6,32.3,68.0,Not Eligible
3.51,80.2,70.4,75.0,Not Eligible
2.62,71.0,71.3,108.0,Eligible
2.9,72.2,97.8,20.0,Not Eligible
2.81,63.5,35.3,49.0,Not Eligible
3.97,69.7,5.6,72.0,Not Eligible
2.58,71.1,88.5,8.0,Not Eligible
2.59,62.3,1.0,46.0,Not Eligible
2.71,64.4,44.8,50.0,Not Eligible
3.13,70.8,25.7,19.0,Not Eligible
2.5,87.1,41.0,123.0,Eligible
3.83,67.4,17.4,43.0,Not Eligible
2.53,80.9,67.4,83.0,Not Eligible
3.79,80.3,56.2,118.0,Eligible
2.21,93.4,40.4,62.0,Not Eligible
3.31,84.4,66.4,12.0,Not Eligible
3.81,96.7,8.3,61.0,Not Eligible
2.34,85.1,85.8,33.0,Not Eligible
3.94,61.0,45.4,92.0,Not Eligible
2.91,75.3,61.6,50.0,Not Eligible
3.89,88.0,27.7,110.0,Eligible
3.35,79.0,97.2,88.0,Not Eligible
2.6,76.8,45.1,118.0,Eligible
2.38,86.9,18.6,50.0,Not Eligible
2.61,71.4,15.9,102.0,Eligible
2.19,96.4,27.8,106.0,Not Eligible
2.29,76.5,77.3,8.0,Not Eligible
2.21,85.2,30.8,24.0,Not Eligible
2.85,99.3,8.2,96.0,Not Eligible
3.59,91.4,44.7,77.0,Not Eligible
2.28,81.3,21.4,20.0,Not Eligible
2.26,94.4,92.1,97.0,Not Eligible
3.29,82.4,37.3,105.0,Eligible
2.39,77.7,31.5,67.0,Not Eligible
2.2,94.9,44.8,126.0,Not Eligible
2.33,61.1,2.9,42.0,Not Eligible
3.85,76.3,53.1,99.0,Not Eligible
3.64,73.7,98.7,126.0,Eligible
2.71,88.6,34.3,10.0,Not Eligible
3.31,60.5,93.5,88.0,Not Eligible
3.07,86.4,12.2,24.0,Not Eligible
3.35,73.9,59.0,23.0,Not Eligible
3.37,63.9,16.9,39.0,Not Eligible
3.26,99.2,87.9,104.0,Eligible
2.53,68.5,72.5,90.0,Not Eligible
2.08,74.0,87.5,103.0,Not Eligible
2.91,68.3,69.2,1.0,Not Eligible
3.78,86.5,67.2,33.0,Not Eligible
3.14,91.3,52.9,68.0,Not Eligible
3.66,94.4,54.6,72.0,Not Eligible
3.98,72.4,78.3,79.0,Not Eligible
2.33,81.0,57.3,59.0,Not Eligible
3.38,86.5,43.3,58.0,Not Eligible
3.35,85.2,70.8,120.0,Eligible
3.96,88.6,96.4,88.0,Not Eligible
3.97,90.8,91.0,76.0,Not Eligible
3.37,63.9,32.5,9.0,Not Eligible
2.49,66.7,38.7,99.0,Not Eligible
3.6,89.4,95.7,102.0,Eligible
2.21,79.1,23.3,130.0,Not Eligible
3.56,77.1,12.8,28.0,Not Eligible
3.82,78.2,47.6,81.0,Not Eligible
2.77,74.9,44.6,57.0,Not Eligible
3.26,83.6,54.8,78.0,Not Eligible
2.86,72.9,3.2,89.0,Not Eligible
2.88,85.5,20.6,94.0,Not Eligible
2.62,68.1,80.3,42.0,Not Eligible
3.52,90.3,36.0,94.0,Not Eligible
3.87,91.3,91.7,28.0,Not Eligible
3.88,83.1,56.9,0.0,Not Eligible
2.35,74.8,2.1,120.0,Not Eligible
3.75,60.6,97.8,114.0,Eligible
3.47,64.9,31.7,86.0,Not Eligible
2.51,63.2,36.9,103.0,Eligible
2.13,60.4,91.1,53.0,Not Eligible
2.54,88.9,87.8,15.0,Not Eligible
3.82,98.2,68.5,87.0,Not Eligible
3.27,60.4,1.0,93.0,Not Eligible
3.44,64.5,0.4,112.0,Eligible
2.51,94.4,17.8,38.0,Not Eligible
3.44,87.5,76.3,106.0,Eligible
2.06,76.2,83.5,106.0,Not Eligible
2.75,99.7,22.5,16.0,Not Eligible
3.25,82.9,7.9,25.0,Not Eligible
2.29,86.8,42.7,31.0,Not Eligible
3.65,86.1,92.9,65.0,Not Eligible
2.47,68.9,52.4,22.0,Not Eligible
3.3,79.5,73.3,27.0,Not Eligible
2.81,68.7,70.9,28.0,Not Eligible
3.19,80.4,85.4,20.0,Not Eligible
2.21,61.2,98.4,8.0,Not Eligible
2.03,75.3,98.0,32.0,Not Eligible
3.82,74.9,54.0,51.0,Not Eligible
2.54,71.7,33.3,83.0,Not Eligible
3.64,63.2,78.8,8.0,Not Eligible
4.0,90.8,70.3,34.0,Not Eligible
2.42,76.8,78.4,51.0,Not Eligible
2.53,92.6,30.0,50.0,Not Eligible
3.33,93.4,58.3,114.0,Eligible
3.93,68.5,18.5,17.0,Not Eligible
3.83,76.9,22.0,17.0,Not Eligible
3.01,88.8,36.9,13.0,Not Eligible
3.59,80.0,71.1,57.0,Not Eligible
2.27,94.2,30.4,3.0,Not Eligible
3.95,82.9,32.9,6.0,Not Eligible
3.93,85.2,79.9,129.0,Eligible
2.33,91.5,91.3,40.0,Not Eligible
2.6,64.9,84.0,72.0,Not Eligible
2.2,83.4,18.5,12.0,Not Eligible
2.54,63.4,45.8,58.0,Not Eligible
3.63,70.4,70.3,58.0,Not Eligible
2.76,68.5,71.2,101.0,Eligible
2.18,82.7,39.7,114.0,Not Eligible
2.68,93.8,42.1,46.0,Not Eligible
3.96,65.3,57.7,18.0,Not Eligible
3.26,90.7,67.8,30.0,Not Eligible
2.83,65.7,7.3,49.0,Not Eligible
2.33,67.6,64.5,17.0,Not Eligible
3.97,96.7,51.2,18.0,Not Eligible
3.64,60.4,3.8,17.0,Not Eligible
2.56,67.9,6.0,26.0,Not Eligible
2.14,68.6,19.9,40.0,Not Eligible
2.11,71.3,35.6,87.0,Not Eligible
2.24,74.5,76.1,62.0,Not Eligible
3.16,64.1,31.5,73.0,Not Eligible
3.86,78.7,76.3,71.0,Not Eligible
2.99,76.0,49.8,126.0,Eligible
3.69,85.0,20.9,68.0,Not Eligible
2.89,94.7,77.7,76.0,Not Eligible
3.42,71.9,72.2,100.0,Eligible
3.46,81.9,3.6,83.0,Not Eligible
2.35,74.9,73.5,15.0,Not Eligible
2.72,61.6,66.9,9.0,Not Eligible
3.27,92.8,37.5,7.0,Not Eligible
2.14,85.4,62.9,48.0,Not Eligible
2.72,60.1,15.2,31.0,Not Eligible
3.07,70.0,58.8,112.0,Eligible
3.99,72.4,17.3,116.0,Eligible
2.95,92.5,11.3,58.0,Not Eligible
3.63,90.4,20.1,67.0,Not Eligible
2.86,75.8,12.1,25.0,Not Eligible
3.59,66.3,12.4,10.0,Not Eligible
3.19,75.4,88.3,35.0,Not Eligible
3.77,92.4,89.9,32.0,Not Eligible
2.82,78.1,73.4,76.0,Not Eligible
3.21,64.6,78.2,40.0,Not Eligible
3.26,61.5,36.0,20.0,Not Eligible
2.83,73.3,54.4,120.0,Eligible
2.29,65.9,81.5,7.0,Not Eligible
2.19,89.8,48.9,85.0,Not Eligible
2.03,71.2,73.7,43.0,Not Eligible
3.75,95.1,42.3,86.0,Not Eligible
2.47,84.7,34.6,58.0,Not Eligible
2.42,75.7,84.7,127.0,Not Eligible
3.47,84.4,33.3,22.0,Not Eligible
2.64,71.8,47.6,20.0,Not Eligible
3.01,65.7,10.8,38.0,Not Eligible
2.33,98.6,51.0,31.0,Not Eligible
3.92,82.5,60.6,95.0,Not Eligible
3.7,60.3,39.1,66.0,Not Eligible
3.73,72.4,64.7,58.0,Not Eligible
2.81,66.4,44.1,54.0,Not Eligible
3.52,70.3,42.6,76.0,Not Eligible
2.29,62.2,42.3,129.0,Not Eligible
2.02,69.8,86.0,83.0,Not Eligible
2.04,87.3,72.8,108.0,Not Eligible
3.17,92.8,45.7,81.0,Not Eligible
2.91,73.9,63.9,107.0,Eligible
3.04,80.9,82.4,70.0,Not Eligible
2.01,61.7,45.6,12.0,Not Eligible
2.85,63.6,84.4,54.0,Not Eligible
3.44,82.1,17.7,125.0,Eligible
2.89,93.6,59.3,101.0,Eligible
3.46,63.5,36.0,89.0,Not Eligible
2.47,76.7,9.9,21.0,Not Eligible
3.63,98.8,89.2,11.0,Not Eligible
3.18,89.6,49.0,35.0,Not Eligible
2.42,67.9,54.1,96.0,Not Eligible
2.47,71.4,51.8,85.0,Not Eligible
3.26,97.9,54.3,8.0,Not Eligible
3.66,68.8,58.6,8.0,Not Eligible
2.83,77.6,87.2,40.0,Not Eligible
2.52,74.2,94.8,126.0,Eligible
3.73,79.6,61.9,19.0,Not Eligible
3.34,69.5,37.6,54.0,Not Eligible
2.9,86.7,51.5,82.0,Not Eligible
2.98,69.4,70.3,75.0,Not Eligible
2.41,84.1,52.9,48.0,Not Eligible
3.25,74.3,26.1,27.0,Not Eligible
2.72,70.1,60.7,121.0,Eligible
3.99,87.8,88.9,6.0,Not Eligible
2.96,98.6,10.7,15.0,Not Eligible
2.97,94.8,7.1,14.0,Not Eligible
3.13,63.5,97.5,62.0,Not Eligible
3.83,78.2,80.3,90.0,Not Eligible
3.6,87.8,41.3,63.0,Not Eligible
2.9,82.5,2.9,88.0,Not Eligible
3.44,89.1,93.4,108.0,Eligible
3.17,99.0,79.4,4.0,Not Eligible
2.98,73.7,60.7,123.0,Eligible
2.38,90.8,79.2,103.0,Not Eligible
2.93,63.8,62.8,25.0,Not Eligible
2.49,94.8,67.4,77.0,Not Eligible
3.83,91.1,90.5,62.0,Not Eligible
2.67,80.8,40.7,44.0,Not Eligible
3.9,92.8,52.8,120.0,Eligible
3.07,86.7,78.1,84.0,Not Eligible
3.26,82.1,27.1,57.0,Not Eligible
3.09,97.8,60.1,101.0,Eligible
2.26,65.2,35.0,54.0,Not Eligible
2.75,99.7,5.1,127.0,Eligible
2.2,66.2,15.5,77.0,Not Eligible
3.25,79.2,11.3,13.0,Not Eligible
2.89,69.3,54.9,75.0,Not Eligible
3.56,70.9,12.0,86.0,Not Eligible
2.44,85.3,54.3,20.0,Not Eligible
2.33,61.4,73.4,97.0,Not Eligible
2.81,97.6,63.2,88.0,Not Eligible
3.85,71.2,74.9,9.0,Not Eligible
3.42,70.9,49.1,51.0,Not Eligible
2.84,94.5,73.8,123.0,Eligible
3.03,90.6,79.2,17.0,Not Eligible
2.17,86.9,25.1,65.0,Not Eligible
3.97,65.9,85.6,101.0,Eligible
3.33,90.8,93.6,14.0,Not Eligible
2.57,74.4,73.1,106.0,Eligible
3.17,99.8,97.1,72.0,Not Eligible
2.22,86.8,6.5,50.0,Not Eligible
3.93,93.4,15.0,14.0,Not Eligible
2.35,89.4,90.3,54.0,Not Eligible
3.3,83.8,3.1,81.0,Not Eligible
2.49,88.7,58.8,98.0,Not Eligible
3.44,83.9,26.9,61.0,Not Eligible
3.55,62.0,45.5,65.0,Not Eligible
3.35,73.8,38.6,96.0,Not Eligible
3.23,72.7,18.8,51.0,Not Eligible
3.78,88.6,58.6,14.0,Not Eligible
2.16,83.0,20.3,115.0,Not Eligible
2.66,84.4,40.7,118.0,Eligible
2.5,93.9,77.0,50.0,Not Eligible
3.98,81.0,66.9,128.0,Eligible
2.78,68.7,65.0,51.0,Not Eligible
3.47,60.5,50.0,97.0,Not Eligible
3.37,66.4,18.9,66.0,Not Eligible
2.42,61.2,44.5,126.0,Not Eligible
2.48,69.5,47.0,120.0,Not Eligible
2.56,85.4,20.3,97.0,Not Eligible
2.82,66.1,60.2,125.0,Eligible
2.47,63.3,51.3,17.0,Not Eligible
2.04,98.8,32.7,107.0,Not Eligible
3.76,99.9,20.7,43.0,Not Eligible
3.93,85.5,14.2,103.0,Eligible
2.68,64.3,88.1,104.0,Eligible
2.68,92.9,93.9,91.0,Not Eligible
2.01,81.6,81.9,53.0,Not Eligible
3.36,67.3,59.4,13.0,Not Eligible
3.65,83.0,96.2,98.0,Not Eligible
2.29,61.6,46.7,37.0,Not Eligible
2.32,98.9,4.5,25.0,Not Eligible
3.58,93.0,37.4,5.0,Not Eligible
3.23,70.4,17.9,110.0,Eligible
2.09,76.8,69.2,59.0,Not Eligible
3.25,75.8,29.6,65.0,Not Eligible
2.62,94.5,46.9,76.0,Not Eligible
2.74,74.2,93.4,92.0,Not Eligible
3.54,61.9,99.3,61.0,Not Eligible
3.62,68.6,53.5,109.0,Eligible
2.8,68.6,27.5,88.0,Not Eligible
3.89,98.0,43.9,100.0,Eligible
2.81,97.0,87.5,25.0,Not Eligible
3.54,72.0,23.8,112.0,Eligible
2.97,60.1,6.3,108.0,Eligible
3.8,80.7,81.8,99.0,Not Eligible
3.82,91.9,53.0,6.0,Not Eligible
2.17,70.7,89.7,112.0,Not Eligible
3.87,77.6,68.5,55.0,Not Eligible
3.65,66.9,3.5,121.0,Eligible
3.58,73.1,78.7,22.0,Not Eligible
2.4,90.4,19.1,11.0,Not Eligible
3.61,77.1,12.7,25.0,Not Eligible
3.7,77.9,56.2,2.0,Not Eligible
2.58,91.6,44.1,82.0,Not Eligible
3.9,90.5,30.2,6.0,Not Eligible
2.1,67.5,58.9,113.0,Not Eligible
2.3,76.6,74.3,82.0,Not Eligible
3.08,94.0,49.3,14.0,Not Eligible
3.15,78.3,78.8,10.0,Not Eligible
3.29,86.5,41.9,38.0,Not Eligible
2.03,72.2,49.9,42.0,Not Eligible
3.92,62.4,54.4,18.0,Not Eligible
2.09,66.6,31.5,22.0,Not Eligible
2.29,76.1,36.3,87.0,Not Eligible
2.03,74.1,51.2,63.0,Not Eligible
3.13,95.8,88.3,76.0,Not Eligible
3.86,81.8,55.0,94.0,Not Eligible
3.33,85.1,10.9,105.0,Eligible
3.65,87.5,73.1,30.0,Not Eligible
2.03,81.3,51.6,99.0,Not Eligible
3.08,90.8,39.9,13.0,Not Eligible
2.92,91.3,69.1,7.0,Not Eligible
3.0,74.1,16.7,66.0,Not Eligible
2.14,63.4,78.5,94.0,Not Eligible
3.37,99.5,71.6,126.0,Eligible
3.01,85.7,18.5,55.0,Not Eligible
3.53,88.4,84.6,54.0,Not Eligible
2.97,90.3,19.3,78.0,Not Eligible
2.3,84.5,67.7,122.0,Not Eligible
3.3,78.8,36.8,89.0,Not Eligible
2.34,99.4,75.6,105.0,Not Eligible
3.74,89.1,5.8,67.0,Not Eligible
3.23,93.8,25.0,89.0,Not Eligible
2.31,77.6,47.0,16.0,Not Eligible
3.92,96.2,71.5,60.0,Not Eligible
3.04,89.3,61.5,114.0,Eligible
2.15,89.8,95.4,21.0,Not Eligible
3.25,63.5,55.9,103.0,Eligible
2.51,84.7,30.2,120.0,Eligible
3.61,73.4,43.4,119.0,Eligible
3.64,86.8,7.5,126.0,Eligible
3.96,82.7,11.7,23.0,Not Eligible
3.0,64.4,51.8,121.0,Eligible
2.91,81.2,97.6,92.0,Not Eligible
3.51,78.1,24.5,130.0,Eligible
2.26,91.1,77.7,122.0,Not Eligible
3.09,80.1,36.7,88.0,Not Eligible
3.09,79.2,3.2,118.0,Eligible
2.18,88.8,16.4,35.0,Not Eligible
2.84,86.7,62.2,104.0,Eligible
3.71,99.7,22.9,68.0,Not Eligible
3.71,74.1,85.1,104.0,Eligible
2.2,87.5,36.7,117.0,Not Eligible
2.18,66.7,22.6,93.0,Not Eligible
2.53,92.2,77.9,72.0,Not Eligible
3.75,91.4,15.9,4.0,Not Eligible
2.26,89.0,95.3,69.0,Not Eligible
3.44,64.8,23.8,24.0,Not Eligible
2.2,99.5,81.5,113.0,Not Eligible
3.25,97.7,51.7,84.0,Not Eligible
2.71,74.8,73.9,32.0,Not Eligible
3.58,83.1,13.8,51.0,Not Eligible
2.47,95.6,20.8,42.0,Not Eligible
3.28,79.8,19.8,120.0,Eligible
2.47,84.0,13.4,122.0,Not Eligible
3.43,84.1,26.5,109.0,Eligible
3.75,86.0,84.0,43.0,Not Eligible
2.25,83.0,74.8,99.0,Not Eligible
3.73,76.2,30.6,76.0,Not Eligible
